Start_Time,City,State,Average_Severity
2016-04-30,San Francisco,CA,3.0
2016-07-01,Albuquerque,NM,2.0
2016-07-01,Atlanta,GA,2.608695652173913
2016-07-01,Boston,MA,2.5
2016-07-01,Charlotte,NC,2.0526315789473686
2016-07-01,Chicago,IL,3.0
2016-07-01,Dallas,TX,2.41025641025641
2016-07-01,Detroit,MI,2.8181818181818183
2016-07-01,Houston,TX,2.2241379310344827
2016-07-01,Jacksonville,FL,2.0
2016-07-01,Kansas City,KS,3.0
2016-07-01,Kansas City,MO,2.0
2016-07-01,Las Vegas,NV,2.6666666666666665
2016-07-01,Los Angeles,CA,2.586206896551724
2016-07-01,Miami,FL,2.55
2016-07-01,Minneapolis,MN,2.2
2016-07-01,Nashville,TN,2.5
2016-07-01,New York,NY,2.625
2016-07-01,Philadelphia,PA,2.0
2016-07-01,Phoenix,AZ,3.25
2016-07-01,Pittsburgh,PA,2.25
2016-07-01,San Antonio,TX,2.259259259259259
2016-07-01,San Diego,CA,2.75
2016-07-01,San Francisco,CA,3.0
2016-07-01,Seattle,WA,2.125
2016-07-02,Atlanta,GA,2.8
2016-07-02,Chicago,IL,2.6
2016-07-02,Dallas,TX,2.1818181818181817
2016-07-02,Detroit,MI,2.6666666666666665
2016-07-02,Houston,TX,2.0833333333333335
2016-07-02,Kansas City,MO,2.1666666666666665
2016-07-02,Las Vegas,NV,2.3333333333333335
2016-07-02,Los Angeles,CA,2.642857142857143
2016-07-02,Miami,AZ,2.0
2016-07-02,Miami,FL,2.888888888888889
2016-07-02,Phoenix,AZ,4.0
2016-07-02,San Diego,CA,2.75
2016-07-02,San Francisco,CA,2.0
2016-07-02,Seattle,WA,2.125
2016-07-03,Atlanta,GA,3.0
2016-07-03,Chicago,IL,2.6666666666666665
2016-07-03,Dallas,TX,2.25
2016-07-03,Houston,TX,2.074074074074074
2016-07-03,Indianapolis,IN,3.0
2016-07-03,Kansas City,MO,2.0
2016-07-03,Las Vegas,NV,2.0
2016-07-03,Los Angeles,CA,2.4827586206896552
2016-07-03,Miami,FL,2.5833333333333335
2016-07-03,Minneapolis,MN,2.0
2016-07-03,Nashville,TN,2.0
2016-07-03,Phoenix,AZ,2.0
2016-07-03,Pittsburgh,PA,3.3333333333333335
2016-07-03,San Diego,CA,2.8
2016-07-03,San Francisco,CA,2.8
2016-07-03,Seattle,WA,2.6666666666666665
2016-07-04,Atlanta,GA,2.8
2016-07-04,Charlotte,NC,2.0
2016-07-04,Chicago,IL,2.5625
2016-07-04,Dallas,TX,2.3896103896103895
2016-07-04,Detroit,MI,2.375
2016-07-04,Houston,TX,2.268292682926829
2016-07-04,Indianapolis,IN,2.0
2016-07-04,Jacksonville,FL,2.3333333333333335
2016-07-04,Kansas City,KS,2.0
2016-07-04,Kansas City,MO,2.0
2016-07-04,Las Vegas,NV,2.5
2016-07-04,Los Angeles,CA,2.466666666666667
2016-07-04,Miami,FL,2.4210526315789473
2016-07-04,Minneapolis,MN,2.0
2016-07-04,Nashville,TN,2.3333333333333335
