Date,City,State,Weather_Score,Average_Severity
2016-04-12,Pittsburgh,PA,1.482118901001952,4.0
2016-04-13,Los Angeles,CA,1.428463711433587,2.421052631578948
2016-04-13,San Diego,CA,1.3110701250940882,2.4375
2016-04-13,San Francisco,CA,1.513474150864122,2.3
2016-04-13,Kansas City,MO,1.248018939113279,2.0
2016-04-13,New York,NY,1.2646203059021086,2.0
2016-04-13,Philadelphia,PA,1.4180173215874154,2.4
2016-04-13,Pittsburgh,PA,1.278218585621049,2.0
2016-04-14,Los Angeles,CA,1.5733793495858586,2.5172413793103448
2016-04-14,San Diego,CA,1.3856661274811106,2.526315789473684
2016-04-14,San Francisco,CA,1.379466222143474,2.1666666666666665
2016-04-14,Indianapolis,IN,1.4384586313914571,2.0
2016-04-14,Kansas City,MO,1.307491849252138,4.0
2016-04-14,Philadelphia,PA,1.4080212714591789,2.0
2016-04-14,Pittsburgh,PA,1.4056670091180572,3.7142857142857135
2016-04-15,Los Angeles,CA,1.2444848129085369,2.5
2016-04-17,Los Angeles,CA,1.4638730058071034,2.333333333333333
2016-04-17,San Diego,CA,1.3019838453118526,3.0
2016-04-17,San Francisco,CA,1.4118179073393389,2.0
2016-04-17,New York,NY,1.311090940281631,3.0
2016-04-18,Los Angeles,CA,1.3456303279043094,2.460526315789474
2016-04-18,San Diego,CA,1.4164964966448612,2.5384615384615383
2016-04-18,San Francisco,CA,1.2365166336549784,2.1
2016-04-18,New York,NY,1.461366668931193,2.25
2016-04-18,Philadelphia,PA,1.4680584340875364,2.0
2016-04-19,Los Angeles,CA,1.4501418757546884,2.396551724137931
2016-04-19,San Diego,CA,1.3913160426229516,2.7142857142857144
2016-04-19,San Francisco,CA,1.33228642867258,2.363636363636364
2016-04-19,Indianapolis,IN,1.318615012738901,2.0
2016-04-19,New York,NY,1.3964297515875386,2.0
2016-04-19,Philadelphia,PA,1.355111784642949,2.0
2016-04-19,Pittsburgh,PA,1.382338272492562,2.5
2016-04-20,Los Angeles,CA,1.391922049703602,2.5
2016-04-20,San Diego,CA,1.3110454474394306,2.565217391304348
2016-04-20,San Francisco,CA,1.199882650197517,2.272727272727273
2016-04-20,New York,NY,1.2704974306904595,2.5
2016-04-20,Philadelphia,PA,1.2612137420349576,2.4
2016-04-20,Pittsburgh,PA,1.1826089552923147,2.0
2016-04-21,Los Angeles,CA,1.2915830800405277,2.3793103448275863
2016-04-21,San Diego,CA,1.2219831695891827,2.4166666666666665
2016-04-21,San Francisco,CA,1.7350008678197368,2.125
2016-04-21,Boston,MA,1.6630506748153795,3.0
2016-04-21,Kansas City,MO,1.622904646219255,3.0
2016-04-21,New York,NY,1.3924856994279728,2.25
2016-04-21,Philadelphia,PA,1.349113277762731,2.0
2016-04-22,Los Angeles,CA,1.328289248350096,2.448717948717949
2016-04-22,San Diego,CA,1.5027384861061812,2.5625
2016-04-22,San Francisco,CA,1.5109557649391443,2.0
2016-04-22,New York,NY,1.2475676773708733,2.6666666666666665
2016-04-22,Philadelphia,PA,1.3166254098089465,2.0
2016-04-23,Los Angeles,CA,1.541234704969824,2.0
2016-04-23,San Diego,CA,1.421144212662178,3.0
2016-04-23,Pittsburgh,PA,1.526703384677472,3.0
2016-04-24,Los Angeles,CA,1.557783525937258,2.235294117647059
2016-04-24,San Diego,CA,1.509926442194209,3.0
2016-04-24,San Francisco,CA,1.5204472315370403,2.333333333333333
2016-04-25,Los Angeles,CA,1.273320571242749,2.543859649122807
2016-04-25,San Diego,CA,1.4285800916216291,2.4375
2016-04-25,San Francisco,CA,1.40279716861738,2.333333333333333
2016-04-25,New York,NY,1.442639757371199,2.0
2016-04-25,Philadelphia,PA,1.507315099881902,2.0
2016-04-26,Los Angeles,CA,1.1785439880281063,2.5
2016-04-26,San Diego,CA,1.521216552886811,2.466666666666667
2016-04-26,San Francisco,CA,1.4430117601378614,2.333333333333333
2016-04-26,New York,NY,1.3309635716825057,2.0
2016-04-26,Philadelphia,PA,1.439408090937043,2.0
2016-04-26,Pittsburgh,PA,1.112856955126058,2.0
2016-04-27,Los Angeles,CA,1.6197488274852614,2.5428571428571427
2016-04-27,San Diego,CA,1.641026331019518,2.7142857142857144
2016-04-27,San Francisco,CA,1.353124581298898,2.5
2016-04-27,Kansas City,MO,1.3315994338651356,2.0
2016-04-27,New York,NY,1.452792882193785,2.5
2016-04-27,Philadelphia,PA,1.5151089220638916,2.25
2016-04-27,Pittsburgh,PA,1.3975711391975254,2.0
2016-04-28,Los Angeles,CA,1.494531335987048,2.5396825396825395
2016-04-28,San Diego,CA,1.3804640787782405,2.5
2016-04-28,San Francisco,CA,1.6734122722917832,2.2857142857142856
2016-04-28,New York,NY,1.6860087098719183,2.0
2016-04-28,Philadelphia,PA,1.5716348317160804,2.0
2016-04-29,Los Angeles,CA,1.4947222222222234,2.5588235294117645
2016-04-29,San Diego,CA,1.4221655937052922,2.393939393939394
2016-04-29,San Francisco,CA,1.578918835192071,2.1666666666666665
2016-04-29,Boston,MA,1.3957828297064712,2.0
2016-04-29,New York,NY,1.4507903328555405,2.0
2016-04-29,Philadelphia,PA,1.6711331968684853,2.0
2016-04-30,Los Angeles,CA,1.5630825734549043,2.56
2016-04-30,San Francisco,CA,1.64743634501699,3.0
2016-07-01,Phoenix,AZ,1.4356419635284126,3.25
2016-07-01,Los Angeles,CA,1.6970993491966586,2.586206896551724
2016-07-01,San Diego,CA,1.7432311320754583,2.75
2016-07-01,San Francisco,CA,1.5152349486049903,3.0
2016-07-01,Jacksonville,FL,1.469552841572599,2.0
2016-07-01,Miami,FL,1.5535456730769248,2.55
2016-07-01,Atlanta,GA,1.730995435393257,2.608695652173913
2016-07-01,Chicago,IL,1.2950244078987971,3.0
2016-07-01,Kansas City,KS,1.511911306578701,3.0
2016-07-01,Kansas City,KS,1.511911306578701,3.0
2016-07-01,Boston,MA,1.4949553292645998,2.5
2016-07-01,Detroit,MI,1.4601886209029042,2.8181818181818183
2016-07-01,Minneapolis,MN,1.514869523927494,2.2
2016-07-01,Charlotte,NC,1.583185955480098,2.0526315789473686
2016-07-01,Albuquerque,NM,1.225871459694987,2.0
2016-07-01,Las Vegas,NV,1.2130935500290871,2.6666666666666665
2016-07-01,New York,NY,1.6069344458987798,2.625
2016-07-01,Philadelphia,PA,1.498701965385736,2.0
2016-07-01,Pittsburgh,PA,1.403061435764925,2.25
2016-07-01,Nashville,TN,1.5495989843993478,2.5
2016-07-01,Dallas,TX,1.450854624465735,2.41025641025641
2016-07-01,Houston,TX,1.3494302783936898,2.2241379310344827
2016-07-01,San Antonio,TX,1.435515680044949,2.259259259259259
2016-07-01,Seattle,WA,1.3990072320841551,2.125
2016-07-02,Miami,AZ,1.4171804617117063,2.0
2016-07-02,Miami,AZ,1.4171804617117063,2.0
2016-07-02,Phoenix,AZ,1.5305364570070448,4.0
2016-07-02,Los Angeles,CA,1.7470625798211952,2.642857142857143
2016-07-02,San Diego,CA,1.6934132996632951,2.75
2016-07-02,San Francisco,CA,1.6029154099386886,2.0
2016-07-02,Atlanta,GA,1.3241709762293583,2.8
2016-07-02,Chicago,IL,1.4899796045047449,2.6
2016-07-02,Detroit,MI,1.4044132720228697,2.6666666666666665
2016-07-02,Kansas City,MO,1.5747037856440524,2.1666666666666665
2016-07-02,Las Vegas,NV,1.455365207467185,2.333333333333333
2016-07-02,Dallas,TX,1.5612509534706336,2.1818181818181817
2016-07-02,Houston,TX,1.5058661548731638,2.083333333333333
2016-07-02,Seattle,WA,1.641642262965782,2.125
2016-07-03,Phoenix,AZ,1.448024230072461,2.0
2016-07-03,Los Angeles,CA,1.515061096902531,2.4827586206896552
2016-07-03,San Diego,CA,1.4769324986390766,2.8
2016-07-03,San Francisco,CA,1.5826270360844787,2.8
2016-07-03,Miami,FL,1.578977970861858,2.583333333333333
2016-07-03,Atlanta,GA,1.380312612734485,3.0
2016-07-03,Chicago,IL,1.393273004679646,2.6666666666666665
2016-07-03,Indianapolis,IN,1.612760416666667,3.0
2016-07-03,Minneapolis,MN,1.4750216262975735,2.0
2016-07-03,Kansas City,MO,1.7081685126582324,2.0
2016-07-03,Las Vegas,NV,1.502169657559565,2.0
2016-07-03,Pittsburgh,PA,1.6319922630560957,3.333333333333333
2016-07-03,Nashville,TN,1.5175802717103215,2.0
2016-07-03,Dallas,TX,1.5401125472610513,2.25
2016-07-03,Houston,TX,1.5665626413819873,2.074074074074074
2016-07-03,Seattle,WA,1.5155652146070446,2.6666666666666665
2016-07-04,Phoenix,AZ,1.30106406027086,2.0
2016-07-04,Los Angeles,CA,1.6255506837874525,2.466666666666667
2016-07-04,San Diego,CA,1.70033539731682,3.0
2016-07-04,San Francisco,CA,1.7345417510975978,2.2
2016-07-04,Jacksonville,FL,1.5495401830207427,2.333333333333333
2016-07-04,Miami,FL,1.6646839080459686,2.421052631578948
2016-07-04,Atlanta,GA,1.692340342679126,2.8
2016-07-04,Chicago,IL,1.5396460423634348,2.5625
2016-07-04,Indianapolis,IN,1.6056839402427636,2.0
2016-07-04,Kansas City,KS,1.8393075980392144,2.0
2016-07-04,Kansas City,KS,1.8393075980392144,2.0
2016-07-04,Detroit,MI,1.485462261503922,2.375
2016-07-04,Minneapolis,MN,1.7645909228901069,2.0
2016-07-04,Charlotte,NC,1.753032024859717,2.0
2016-07-04,Las Vegas,NV,1.391180784745139,2.5
2016-07-04,New York,NY,1.421855642018739,3.0
2016-07-04,Philadelphia,PA,1.4519572492458537,2.0
2016-07-04,Pittsburgh,PA,1.5320942078754571,2.0
2016-07-04,Nashville,TN,1.452131255044388,2.333333333333333
2016-07-04,Dallas,TX,1.2783484395127656,2.389610389610389
2016-07-04,Houston,TX,1.5329466914555507,2.268292682926829
2016-07-04,San Antonio,TX,1.692394364909585,2.2222222222222223
2016-07-04,Seattle,WA,1.4850201999910628,2.1818181818181817
2016-07-05,Phoenix,AZ,1.4240698843640036,2.333333333333333
2016-07-05,Los Angeles,CA,1.620405766196831,2.453333333333333
2016-07-05,San Diego,CA,1.5526208582292258,2.4482758620689653
2016-07-05,San Francisco,CA,1.693413872018305,2.555555555555556
2016-07-05,Denver,CO,1.389290565790003,2.833333333333333
2016-07-05,Jacksonville,FL,1.4870228944948087,2.0
2016-07-05,Miami,FL,1.637170623266427,2.419354838709677
2016-07-05,San Antonio,FL,1.6755825172681174,2.0
2016-07-05,San Antonio,FL,1.6755825172681174,2.0
2016-07-05,Atlanta,GA,1.3351887192536027,2.588235294117647
2016-07-05,Chicago,IL,1.5874537847830317,2.5
2016-07-05,Indianapolis,IN,1.6225437464142345,2.0
2016-07-05,Kansas City,KS,1.6720410067422438,3.0
2016-07-05,Kansas City,KS,1.6720410067422438,3.0
2016-07-05,Boston,MA,1.338849580712785,2.5
2016-07-05,Detroit,MI,1.6191757858598843,2.6153846153846154
2016-07-05,Minneapolis,MN,1.442091764610851,2.0
2016-07-05,Charlotte,NC,1.5849400871459685,2.0
2016-07-05,Albuquerque,NM,1.333461858597728,2.0
2016-07-05,Las Vegas,NV,1.4490093742811054,2.0
2016-07-05,New York,NY,1.6446380825057272,2.125
2016-07-05,Portland,OR,1.4884882478632442,3.25
2016-07-05,Philadelphia,PA,1.736706349206346,2.25
2016-07-05,Pittsburgh,PA,1.7516454437997035,2.5
2016-07-05,Nashville,TN,1.593214180691266,2.333333333333333
2016-07-05,Dallas,TX,1.4003218157181574,2.396551724137931
2016-07-05,Houston,TX,1.8476790419725184,2.242424242424242
2016-07-05,Seattle,WA,1.3642543859648968,2.0454545454545454
2016-07-06,Phoenix,AZ,1.5331579796912578,2.0
2016-07-06,Los Angeles,CA,1.6313625204582642,2.4788732394366195
2016-07-06,San Diego,CA,1.645372453443319,2.4285714285714284
2016-07-06,San Francisco,CA,1.5120237554358391,2.833333333333333
2016-07-06,Denver,CO,1.6798402780762456,2.5
2016-07-06,Denver,CO,1.6798402780762456,2.5
2016-07-06,Jacksonville,FL,1.3892510944340235,2.333333333333333
2016-07-06,Miami,FL,1.5875828424153282,2.2
2016-07-06,Atlanta,GA,1.5960212759781731,2.333333333333333
2016-07-06,Chicago,IL,1.3782751789365983,2.7777777777777777
2016-07-06,Indianapolis,IN,1.491371298551467,3.0
2016-07-06,Kansas City,KS,1.5877544728351176,2.0
2016-07-06,Kansas City,KS,1.5877544728351176,2.0
2016-07-06,Boston,MA,1.329655930591869,3.0
2016-07-06,Charlotte,MI,1.5891202104632969,2.0
2016-07-06,Charlotte,MI,1.5891202104632969,2.0
2016-07-06,Detroit,MI,1.4841178857186,2.411764705882353
2016-07-06,Minneapolis,MN,1.5596552519888869,2.0
2016-07-06,Albuquerque,NM,1.5640119624351323,3.0
2016-07-06,Las Vegas,NV,1.5034740610794834,2.0
2016-07-06,New York,NY,1.4500462893925847,2.0
2016-07-06,Philadelphia,PA,1.4222967754966234,2.333333333333333
2016-07-06,Pittsburgh,PA,1.4908415217938928,2.111111111111111
2016-07-06,Nashville,TN,1.6485498606669229,2.0
2016-07-06,Dallas,TX,1.4699966171659586,2.224489795918368
2016-07-06,Houston,TX,1.6020579854828252,2.225
2016-07-06,San Antonio,TX,1.853855423239508,2.3703703703703702
2016-07-06,Seattle,WA,1.6574537207777584,2.0384615384615383
2016-07-07,Phoenix,AZ,1.3473950026581536,2.25
2016-07-07,Los Angeles,CA,1.4260162497546338,2.548387096774193
2016-07-07,San Diego,CA,1.9340614886731355,2.533333333333333
2016-07-07,San Francisco,CA,1.620150273224037,2.0
2016-07-07,Denver,CO,1.4548366431774498,2.0
2016-07-07,Portland,CT,1.59512142027864,2.0
2016-07-07,Portland,CT,1.59512142027864,2.0
2016-07-07,Jacksonville,FL,1.626868961352656,2.333333333333333
2016-07-07,Miami,FL,1.6574787408332043,2.08
2016-07-07,Miami,FL,1.6574787408332043,2.08
2016-07-07,Atlanta,GA,1.858782133371268,2.75
2016-07-07,Chicago,IL,1.4593771566597624,2.875
2016-07-07,Indianapolis,IN,1.4624719416386107,2.6
2016-07-07,Boston,MA,1.2845585291931096,2.0
2016-07-07,Detroit,MI,1.5670800264550249,2.2222222222222223
2016-07-07,Minneapolis,MN,1.48464243561065,2.0
2016-07-07,Kansas City,MO,1.389545386120726,2.333333333333333
2016-07-07,Charlotte,NC,1.409422657952066,2.0
2016-07-07,Albuquerque,NM,1.3767014438220642,2.0
2016-07-07,Las Vegas,NV,1.4627642514502457,2.0
2016-07-07,New York,NY,1.5052460332065494,2.0
2016-07-07,Philadelphia,PA,1.4726047102903717,2.2857142857142856
2016-07-07,Pittsburgh,PA,1.7937900641025672,3.0
2016-07-07,Nashville,TN,1.7187787831614438,2.0
2016-07-07,Dallas,TX,1.5415913291546093,2.388059701492537
2016-07-07,Houston,TX,1.7288179142693822,2.2777777777777777
2016-07-07,San Antonio,TX,1.7293232246169428,2.0869565217391304
2016-07-07,Seattle,WA,1.695076624367231,2.210526315789474
2016-07-08,Phoenix,AZ,1.3236354065435707,2.0
2016-07-08,Los Angeles,CA,1.68032427431757,2.4285714285714284
2016-07-08,San Diego,CA,1.593618962736608,2.555555555555556
2016-07-08,San Francisco,CA,1.7365474339035776,2.0
2016-07-08,Denver,CO,1.3689720785051531,2.0
2016-07-08,Denver,CO,1.3689720785051531,2.0
2016-07-08,Jacksonville,FL,1.5610116642422294,2.0
2016-07-08,Miami,FL,1.4273601882613511,2.53125
2016-07-08,San Antonio,FL,1.7275902097854463,3.0
2016-07-08,San Antonio,FL,1.7275902097854463,3.0
2016-07-08,Atlanta,GA,1.5629813013915226,2.655172413793104
2016-07-08,Chicago,IL,1.7001420830029066,2.5789473684210527
2016-07-08,Indianapolis,IN,1.7080920564216775,2.0
2016-07-08,Kansas City,KS,1.712716283836739,2.0
2016-07-08,Kansas City,KS,1.712716283836739,2.0
2016-07-08,Boston,MA,1.4615240240240277,2.5
2016-07-08,Detroit,MI,1.5361413271294453,2.7058823529411766
2016-07-08,Minneapolis,MN,1.4643855643675396,2.0
2016-07-08,Charlotte,NC,1.6781127916798664,2.0
2016-07-08,Albuquerque,NM,1.305270165285536,2.5
2016-07-08,Las Vegas,NV,1.266225835340622,2.0
2016-07-08,New York,NY,1.4245547450052596,2.125
2016-07-08,Portland,OR,1.5505571705426378,2.6666666666666665
2016-07-08,Philadelphia,PA,1.2544898672257134,2.111111111111111
2016-07-08,Philadelphia,PA,1.2544898672257134,2.111111111111111
2016-07-08,Pittsburgh,PA,1.8071869197693688,2.0
2016-07-08,Nashville,TN,1.6471009305654951,2.0
2016-07-08,Dallas,TX,1.5258979708721911,2.217391304347826
2016-07-08,Houston,TX,1.5684249084249098,2.189873417721519
2016-07-08,Seattle,WA,1.695709011452683,2.3461538461538463
2016-07-08,Vancouver,WA,1.8268887808041452,2.0
2016-07-09,Los Angeles,CA,1.6579840269441093,2.55
2016-07-09,Miami,FL,1.438604491517116,3.0
2016-07-09,Atlanta,GA,1.2239309542138643,3.0
2016-07-09,Chicago,IL,1.6031388763452985,2.6
2016-07-09,Detroit,MI,1.4592515969802524,2.888888888888889
2016-07-09,Portland,MI,1.6447196016771437,3.0
2016-07-09,Minneapolis,MN,1.3991621725731904,2.0
2016-07-09,New York,NY,1.4773355929562135,3.0
2016-07-09,Philadelphia,PA,1.5724462365591436,3.0
2016-07-09,Dallas,TX,1.3015713134568896,2.25
2016-07-09,Houston,TX,1.4200964691527505,2.321428571428572
2016-07-09,Seattle,WA,1.7195128521609542,2.857142857142857
2016-07-10,Miami,AZ,1.542833223539748,4.0
2016-07-10,Miami,AZ,1.542833223539748,4.0
2016-07-10,Phoenix,AZ,1.5735276307138648,3.333333333333333
2016-07-10,Los Angeles,CA,1.6823565341275295,2.4285714285714284
