City,Date,Score
Charlotte,2016-01-03,1.4036419009251817
Chicago,2016-01-03,1.3577088553525003
Dallas,2016-01-03,1.5750951527128476
Denver,2016-01-03,1.42575218441769
Detroit,2016-01-03,1.6149512972222253
Houston,2016-01-03,1.7032059979348853
Indianapolis,2016-01-03,1.4839003731941596
Jacksonville,2016-01-03,1.4765615273931316
Kansas City,2016-01-03,1.4045763493911751
Las Vegas,2016-01-03,0.9867371225467857
Los Angeles,2016-01-03,1.5155843648799872
Miami,2016-01-03,1.5032745131756005
Minneapolis,2016-01-03,1.3932890820104167
Nashville,2016-01-03,1.5720847299745382
New York,2016-01-03,1.3920261217416587
Philadelphia,2016-01-03,1.7501508744916667
Phoenix,2016-01-03,1.5115755301198177
Pittsburgh,2016-01-03,1.3300446982529985
Portland,2016-01-03,1.073752755850627
San Antonio,2016-01-03,1.7176340918442032
San Diego,2016-01-03,1.1680393504304776
San Francisco,2016-01-03,1.6145009460782744
Seattle,2016-01-03,1.377811984779063
Vancouver,2016-01-03,1.8400448435925925
Albuquerque,2016-01-04,1.481557754108877
Atlanta,2016-01-04,1.3335937331246228
Boston,2016-01-04,1.4664172149122665
Charlotte,2016-01-04,1.522143181552656
Chicago,2016-01-04,1.514647937381774
Dallas,2016-01-04,1.6523591234082473
Denver,2016-01-04,1.593167626369224
Detroit,2016-01-04,1.5147441391115346
Houston,2016-01-04,1.5858787662224718
Indianapolis,2016-01-04,1.5746947965942792
Jacksonville,2016-01-04,1.6989091477653493
Kansas City,2016-01-04,1.69359561773457
Las Vegas,2016-01-04,1.3428966298489589
Los Angeles,2016-01-04,1.4751604508315455
Miami,2016-01-04,1.481544912615234
Minneapolis,2016-01-04,1.6858169025876855
Nashville,2016-01-04,1.3279055904680344
New York,2016-01-04,1.3381514399947294
Philadelphia,2016-01-04,1.1105065911889302
Phoenix,2016-01-04,1.394363065476609
Pittsburgh,2016-01-04,1.3266561577906166
Portland,2016-01-04,1.115681244785312
San Antonio,2016-01-04,1.616552853978472
San Diego,2016-01-04,1.4668696702697113
San Francisco,2016-01-04,1.6056909524845646
Seattle,2016-01-04,1.5120069179866946
Vancouver,2016-01-04,1.4502412232172481
Albuquerque,2016-01-05,1.7036790794094816
Atlanta,2016-01-05,1.5229354833374102
Boston,2016-01-05,1.6623900640787346
Charlotte,2016-01-05,1.5562405592593285
Chicago,2016-01-05,1.436417548191384
Dallas,2016-01-05,1.403362190999393
Denver,2016-01-05,1.7353126098635994
Detroit,2016-01-05,1.6128914154914504
Houston,2016-01-05,1.3054268543373493
Indianapolis,2016-01-05,1.6790119072037082
Jacksonville,2016-01-05,1.2207222985563004
Kansas City,2016-01-05,1.7902432384806124
Las Vegas,2016-01-05,1.4110252151085243
Los Angeles,2016-01-05,1.6344587354284386
Miami,2016-01-05,1.5765163536997209
Minneapolis,2016-01-05,1.5584368144626328
Nashville,2016-01-05,1.6128130811927097
New York,2016-01-05,1.5503589584996553
Philadelphia,2016-01-05,1.5949362992177538
Phoenix,2016-01-05,1.5294370262999213
Pittsburgh,2016-01-05,1.2508201896952806
Portland,2016-01-05,1.1043220848887
San Antonio,2016-01-05,1.7114618918382596
San Diego,2016-01-05,1.3014220257288966
San Francisco,2016-01-05,1.7369965814059487
Seattle,2016-01-05,1.6147374484143198
Vancouver,2016-01-05,1.7033140486154228
Albuquerque,2016-01-06,1.4041116213888838
Atlanta,2016-01-06,1.537933844405512
Boston,2016-01-06,1.5886286117837105
Charlotte,2016-01-06,1.7388933125069648
Chicago,2016-01-06,1.6465530382858873
Dallas,2016-01-06,1.4546403651245228
Denver,2016-01-06,1.4081212129880003
Detroit,2016-01-06,1.549999926613056
Houston,2016-01-06,1.7947524275119646
Indianapolis,2016-01-06,1.6666562469282338
Jacksonville,2016-01-06,1.3870042938141434
Kansas City,2016-01-06,1.500048763541468
Las Vegas,2016-01-06,1.3472196498445421
Los Angeles,2016-01-06,1.306820700971953
Miami,2016-01-06,1.447090071883448
Minneapolis,2016-01-06,1.554787450173905
Nashville,2016-01-06,1.4676477802520949
New York,2016-01-06,1.3388589808961286
Philadelphia,2016-01-06,1.3585439822377803
Phoenix,2016-01-06,1.611806671766343
Pittsburgh,2016-01-06,1.7723452617994235
Portland,2016-01-06,1.1343253511540692
San Antonio,2016-01-06,1.7925475043972239
San Diego,2016-01-06,1.4124168601722193
San Francisco,2016-01-06,1.4702720858442329
Seattle,2016-01-06,1.5888523515492292
Vancouver,2016-01-06,1.4566506358385165
Albuquerque,2016-01-07,1.4185508698562874
Atlanta,2016-01-07,1.7131595145074885
Boston,2016-01-07,1.2759917702259878
Charlotte,2016-01-07,1.656469708258664
Chicago,2016-01-07,1.6950816710578551
Dallas,2016-01-07,1.891402354449991
Denver,2016-01-07,1.3343854234783998
