City,ongelukken,lat,lng
Cameron Park,74,38.6738,-120.9872
San Bruno,435,37.6256,-122.4313
Modesto,757,37.6375,-121.0028
Berkeley,1239,37.8722,-122.276
Gilroy,421,37.0046,-121.5854
Escalon,87,37.7912,-120.9982
Byron,243,44.0378,-92.6409
Penryn,52,40.2016,-76.3675
Citrus Heights,295,38.6948,-121.288
El Dorado Hills,294,38.675,-121.049
El Cerrito,52,37.9196,-122.3025
Suisun City,49,38.2473,-122.0091
Fair Oaks,491,38.8653,-77.3586
Napa,816,38.2975,-122.301
Colfax,200,46.9029,-117.34
Rocklin,269,38.8075,-121.2489
Mather,11,38.5488,-121.2831
Mill Valley,269,37.9086,-122.5421
San Carlos,157,37.4982,-122.2677
Aptos,254,36.9912,-121.8934
San Ramon,368,37.7624,-121.9365
Woodland,328,38.6712,-121.75
Loomis,92,38.8093,-121.1955
Folsom,225,38.6668,-121.1422
Walnut Grove,63,33.7452,-83.8512
Rodeo,159,38.0367,-122.2526
San Lorenzo,429,37.6733,-122.1332
Sausalito,333,37.8581,-122.4933
Portola Valley,55,37.3711,-122.2202
Manteca,440,37.7927,-121.2264
Daly City,470,37.6862,-122.4685
Mokelumne Hill,46,38.3057,-120.7061
Occidental,26,38.4004,-122.9349
Newcastle,136,47.5304,-122.1633
Guerneville,67,38.5137,-122.9894
Calistoga,201,38.5818,-122.5824
Galt,267,38.2698,-121.3004
Crockett,196,31.3177,-95.4564
Glen Ellen,60,38.3564,-122.5412
Rohnert Park,143,38.3479,-122.6965
Jackson,940,32.3157,-90.2125
Ripon,216,37.7417,-121.131
Lafayette,2887,30.2082,-92.0325
Fulton,56,38.8551,-91.951
Sebastopol,209,38.4001,-122.8275
Forestville,88,38.8518,-76.8708
Hollister,398,36.8555,-121.3986
West Sacramento,656,38.5557,-121.5505
Acampo,181,38.1735,-121.2797
Valley Springs,157,38.1694,-120.826
Delhi,75,37.4306,-120.7759
Shingle Springs,231,38.6665,-120.9371
Ione,76,38.3613,-120.9422
Yountville,13,38.3963,-122.3671
French Camp,215,37.8803,-121.2803
Meadow Vista,12,39.0029,-121.0303
Penn Valley,155,39.1954,-121.1942
San Rafael,768,37.9905,-122.5221
Herald,12,38.2913,-121.2318
Castroville,142,36.7649,-121.7534
Camino,37,38.7422,-120.6808
Ben Lomond,42,37.0782,-122.0881
Moss Landing,63,36.8019,-121.7872
Aromas,69,36.8771,-121.6404
Elverta,43,38.7185,-121.4455
Soledad,103,36.4432,-121.3426
Yuba City,43,39.1357,-121.6383
Dos Palos,36,36.9854,-120.6338
Salida,164,37.7083,-121.0842
Lucerne,26,39.0698,-122.7746
Antelope,255,38.7153,-121.361
Rio Linda,174,38.6875,-121.4417
Benicia,309,38.0725,-122.1526
Lower Lake,18,38.9118,-122.6084
Winters,88,38.532,-121.9781
Oakdale,126,44.9876,-92.9641
Turlock,261,37.5053,-120.8588
Belmont,389,37.5154,-122.2953
Boulder Creek,77,37.1341,-122.1272
Carmel,351,39.965,-86.146
Mountain View,811,37.4001,-122.0796
Foresthill,51,39.0053,-120.8314
Mendota,75,36.7555,-120.3776
Keyes,2,37.5573,-120.9114
Firebaugh,66,36.8533,-120.4535
Monte Rio,18,38.4684,-123.0148
Campbell,296,37.2802,-121.9539
Larkspur,153,37.9393,-122.5312
Nicasio,70,38.0606,-122.7008
Bodega Bay,48,38.325,-123.0309
Brentwood,706,37.9356,-121.719
El Sobrante,155,33.8724,-117.4624
Newman,67,37.3156,-121.0212
Kelseyville,40,38.9704,-122.8328
Meridian,72,43.6116,-116.3977
Capitola,74,36.9773,-121.9537
Lakeport,49,39.0392,-122.9218
Rumsey,4,38.8902,-122.2404
Middletown,601,39.5033,-84.3659
Georgetown,234,30.666,-97.6966
Biggs,19,39.4102,-121.7134
Waterford,114,37.6429,-120.7553
Nicolaus,14,38.8982,-121.5729
Gonzales,105,30.2132,-90.9234
Patterson,188,37.4758,-121.1536
Rio Vista,123,38.1765,-121.7025
Dunnigan,56,38.8926,-121.9741
Copperopolis,34,37.9488,-120.6352
Alta,66,42.6717,-95.3045
Willows,46,39.5149,-122.1995
Marysville,411,48.0809,-122.1561
Winton,66,37.3854,-120.6173
Ukiah,89,39.1464,-123.2105
Penngrove,51,38.3006,-122.6707
Clarksburg,218,39.2246,-77.2659
Esparto,21,38.6934,-122.0241
Garden Valley,23,44.083,-115.9612
Oroville,169,39.4999,-121.5634
Pacifica,103,37.6113,-122.4782
Los Banos,144,37.063,-120.8406
La Grange,310,41.8072,-87.8741
Arbuckle,35,39.0141,-122.061
San Juan Bautista,184,36.845,-121.5371
Geyserville,58,38.7173,-122.9034
Jenner,38,38.451,-123.1203
Stanford,16,37.4252,-122.1674
San Andreas,72,38.1911,-120.6763
Dobbins,2,39.3657,-121.2128
Brooks,14,38.0656,-85.7177
Pollock Pines,59,38.7575,-120.5921
Hopland,46,38.9691,-123.1173
Discovery Bay,76,37.9063,-121.599
Ceres,183,37.5952,-120.962
Bay Point,74,38.0329,-121.9615
Little River,100,33.8786,-78.6393
Watsonville,384,36.9206,-121.7708
Diamond Springs,31,38.692,-120.8391
Felton,60,37.0392,-122.0808
Cool,46,32.8001,-98.0113
Pine Grove,53,40.5535,-76.386
Upper Lake,30,39.1655,-122.9052
Clearlake Oaks,36,39.0218,-122.6593
Woodside,359,37.4221,-122.2586
Atwater,113,37.3529,-120.5959
Sutter Creek,29,38.3827,-120.8106
Lockeford,38,38.1508,-121.1554
Coyote,30,36.1615,-106.6067
Pescadero,50,37.2507,-122.3725
La Honda,47,37.3182,-122.2651
Pioneer,62,41.6773,-84.5524
Gustine,127,37.2545,-120.9949
Ballico,6,37.4519,-120.7037
Cloverdale,119,38.7962,-123.0152
Fairfax,1141,38.8531,-77.2997
Plymouth,650,45.0225,-93.4617
Port Costa,2,38.0446,-122.185
Smartsville,18,39.2053,-121.2928
North San Juan,14,39.3719,-121.106
Courtland,26,36.7123,-77.062
Monte Sereno,5,37.2405,-121.9881
Applegate,28,43.3554,-82.6371
Freedom,22,36.9403,-121.7953
Mountain Ranch,14,38.2117,-120.5311
Merced,103,37.3057,-120.4779
Clearlake,5,38.9589,-122.633
Graton,5,38.4375,-122.866
Pacheco,21,37.9878,-122.07
Maxwell,17,39.2771,-122.1946
Kentfield,17,37.9481,-122.5497
Stevinson,26,37.3247,-120.8497
Somerset,179,40.5083,-74.501
Hughson,25,37.602,-120.866
Yorkville,35,41.6563,-88.4507
Clayton,197,35.659,-78.4498
Crows Landing,19,37.3944,-121.0752
Farmington,734,36.7555,-108.1823
Rough and Ready,4,39.234,-121.1381
Marina,48,36.681,-121.7892
Point Reyes Station,27,38.0847,-122.8093
Soda Springs,58,42.659,-111.5878
Moss Beach,40,37.5184,-122.5036
Redwood Valley,19,39.2689,-123.2023
Williams,105,39.1498,-122.1389
Dutch Flat,22,39.208,-120.8345
Oakley,39,37.9929,-121.6952
Browns Valley,15,45.5947,-96.8327
Sutter,6,39.1556,-121.7493
Gold River,13,38.6268,-121.2488
Downieville,6,39.5701,-120.8213
Fort Bragg,23,39.4399,-123.8013
Fiddletown,8,38.5069,-120.7602
Annapolis,453,38.9706,-76.5047
Rancho Murieta,5,38.5085,-121.0716
Muir Beach,8,37.8655,-122.5859
Sierra City,4,39.574,-120.6297
Livingston,242,37.3875,-120.7248
Jamestown,112,42.0976,-79.2367
Gridley,22,39.3622,-121.6971
Pleasant Grove,60,40.3716,-111.7412
Davenport,353,41.5565,-90.6053
Bodega,9,38.3488,-122.9711
Sheridan,55,44.7961,-106.9642
Alameda,8,37.7668,-122.267
Olivehurst,30,39.0795,-121.5566
Denair,29,37.5254,-120.7974
Colusa,21,39.2059,-122.0125
Marshall,114,32.537,-94.3515
Volcano,9,19.4864,-155.2774
Kenwood,14,39.2066,-84.375
Potter Valley,9,39.319,-123.1122
Comptche,3,39.2652,-123.5898
Cazadero,30,38.5265,-123.0978
Camptonville,23,39.4521,-121.0487
Wheatland,19,39.0287,-121.39
Chualar,7,36.5711,-121.5103
Grizzly Flats,3,38.6358,-120.5354
Stonyford,1,39.3695,-122.5438
Mendocino,6,39.311,-123.7908
Princeton,207,25.5396,-80.3971
Woodbridge,733,38.6409,-77.258
Butte City,1,43.607,-113.2408
Bolinas,12,37.9177,-122.7095
Madison,975,43.0822,-89.393
Tomales,8,38.247,-122.9054
Palermo,6,39.4313,-121.5225
Woodacre,5,38.0052,-122.6384
Montara,4,37.5483,-122.4923
Inverness,37,42.1153,-88.1019
Greenwood,741,39.6019,-86.1073
Glenn,10,33.1493,-85.2092
Albion,34,42.2478,-84.7572
Hickman,16,40.6248,-96.6307
Atherton,12,37.454,-122.2031
Albany,2210,42.6664,-73.7987
Dillon Beach,1,38.2436,-122.9562
East Palo Alto,11,37.4671,-122.1352
Knights Landing,12,38.798,-121.7175
West Point,50,41.122,-112.0995
Cobb,4,38.8356,-122.723
El Macero,2,38.544,-121.6852
Guinda,2,38.8274,-122.1984
Hillsborough,76,40.5069,-74.6523
San Anselmo,4,37.9821,-122.5699
Diablo,1,37.8408,-121.9565
Foster City,11,37.5553,-122.2659
Berry Creek,5,39.6314,-121.4052
Santa Barbara,724,34.4285,-119.7202
Ventura,655,32.2438,-107.6832
Simi Valley,298,34.2663,-118.749
Los Angeles,30343,34.1141,-118.4068
South El Monte,578,34.0493,-118.0484
La Puente,1393,34.0323,-117.9533
Orange,1699,33.8038,-117.8218
Santa Ana,1641,33.7367,-117.8819
Pomona,1967,34.0585,-117.7626
Riverside,4742,33.9381,-117.3949
Vista,551,33.1896,-117.2386
Temecula,985,33.4928,-117.1315
Running Springs,98,34.2104,-117.1147
Newhall,1177,41.9933,-91.9672
Inglewood,1544,33.9566,-118.3444
Downey,1716,33.9379,-118.1311
San Diego,10314,32.8313,-117.1222
Escondido,1159,33.1348,-117.0723
Mentone,71,34.0609,-117.1108
Ontario,2688,34.0393,-117.6064
Fontana,1329,34.0968,-117.4599
Colton,1114,34.0538,-117.3255
Redlands,984,34.0512,-117.1712
Moreno Valley,790,33.9244,-117.2045
Spring Valley,700,36.0952,-115.2636
Sun Valley,893,39.6104,-119.777
Cerritos,1717,33.8678,-118.0686
Anaheim,3539,33.839,-117.8574
Tustin,1081,33.7311,-117.8107
Highland,195,34.1113,-117.165
Santee,264,32.8554,-116.9851
Buena Park,745,33.8572,-118.0046
Torrance,1013,33.8346,-118.3416
Long Beach,4482,33.7977,-118.167
Montebello,407,34.0155,-118.1108
Norwalk,1764,33.9069,-118.0829
Pasadena,2087,29.6575,-95.1498
Oxnard,420,34.1964,-119.1815
Chino,774,33.9836,-117.6654
Irvine,2048,33.6772,-117.7738
Diamond Bar,1841,33.9992,-117.8161
Hacienda Heights,1264,33.997,-117.9727
El Monte,767,34.0739,-118.0291
Hemet,244,33.7341,-116.9969
Calabasas,504,34.1375,-118.6689
Glendale,1539,33.5791,-112.2311
Compton,1334,33.893,-118.2274
Lynwood,955,33.924,-118.2016
Encinitas,437,33.0492,-117.261
Pala,75,33.3639,-117.0675
Valencia,518,34.8053,-106.6868
Corona,3991,33.8616,-117.5649
Carlsbad,645,33.1246,-117.2834
Commerce,158,33.9963,-118.1519
Carson,1089,33.8374,-118.2559
Gardena,2060,33.8943,-118.3072
Whittier,3033,33.9678,-118.0188
Oceanside,612,33.2247,-117.3083
Perris,724,33.7898,-117.2233
Hesperia,544,34.3975,-117.3147
Lawndale,441,33.8884,-118.3531
Fullerton,644,33.8841,-117.9279
Lake Elsinore,546,33.6847,-117.3344
Santa Fe Springs,1055,33.9329,-118.0625
El Cajon,927,32.8017,-116.9604
Stevenson Ranch,173,34.3894,-118.5883
Valley Center,173,33.233,-117.0158
Culver City,1102,34.0058,-118.3968
San Pedro,270,25.9812,-97.5882
San Bernardino,3250,34.1416,-117.2943
National City,596,32.6654,-117.0983
Camarillo,460,34.223,-119.0321
San Ysidro,215,32.3568,-106.8129
Covina,597,34.0903,-117.8818
Bloomington,620,40.4757,-88.9703
Baldwin Park,2270,34.0829,-117.9722
Rialto,215,34.1175,-117.3892
Alhambra,753,34.084,-118.1355
Rosemead,495,34.0689,-118.0823
Brea,508,33.9254,-117.8655
Westminster,956,39.8837,-105.0624
Acton,655,34.4956,-118.1858
Walnut,429,34.0334,-117.8593
Mission Viejo,436,33.6096,-117.6551
Altadena,239,34.1927,-118.1346
Rowland Heights,1574,33.9716,-117.8912
Arcadia,650,34.1342,-118.0373
Menifee,184,33.6909,-117.1849
Chula Vista,650,32.6281,-117.0144
Moorpark,173,34.2861,-118.8768
Santa Monica,505,34.0235,-118.481
Murrieta,539,33.5719,-117.1909
