Start_Time,Accidents
2016-02-08,0.00249933528316937
2016-02-15,0.004998670566338738
2016-02-22,0.0016484977399627756
2016-02-29,0.00026588673225206097
2016-03-07,0.0014357883541611278
2016-03-14,0.0
2016-03-21,0.1285296463706461
2016-03-28,0.21473012496676416
2016-04-04,0.23669236905078436
2016-04-11,0.16692369050784364
2016-04-18,0.22366391917043338
2016-04-25,0.20717894177080562
2016-05-02,0.13437915448019144
2016-05-09,0.14336612603031107
2016-05-16,0.23919170433395373
2016-05-23,0.2889657006115395
2016-05-30,0.2189311353363467
2016-06-06,0.23589470885402816
2016-06-13,0.1741558096250997
2016-06-20,0.5418239829832492
2016-06-27,0.5647434193033768
2016-07-04,0.5492156341398564
2016-07-11,0.5204466897101835
2016-07-18,0.5649561286891784
2016-07-25,0.6367455463972348
2016-08-01,0.5853762297261367
2016-08-08,0.6808827439510768
2016-08-15,0.652007444828503
2016-08-22,0.6511034299388461
2016-08-29,0.6898697155011965
2016-09-05,0.6917309226269609
2016-09-12,0.6831161925019942
2016-09-19,0.5125232650890721
2016-09-26,0.7094921563413986
2016-10-03,0.6774262164318
2016-10-10,0.7040680670034566
2016-10-17,0.757298590800319
2016-10-24,0.5625099707524595
2016-10-31,0.7778782238766285
2016-11-07,0.77032704068067
2016-11-14,0.8208455198085616
2016-11-21,0.6950279181068865
2016-11-28,0.8171231055570327
2016-12-05,0.7793140122307897
2016-12-12,0.8226003722414251
2016-12-19,0.7049189045466632
2016-12-26,0.45535761765487903
2017-01-02,0.5712842329167774
2017-01-09,0.767880882743951
2017-01-16,0.6688114863068333
2017-01-23,0.6400425418771604
2017-01-30,0.6954001595320394
2017-02-06,0.7342196224408402
2017-02-13,0.6570592927412923
2017-02-20,0.6322254719489497
2017-02-27,0.6657272002127094
2017-03-06,0.6462642914118586
2017-03-13,0.6786492954001595
2017-03-20,0.660515820260569
2017-03-27,0.6253655942568466
2017-04-03,0.6364264823185323
2017-04-10,0.604254187716033
2017-04-17,0.6198351502260038
2017-04-24,0.5756979526721616
2017-05-01,0.6112204201010369
2017-05-08,0.5099175751130018
2017-05-15,0.5179473544270141
2017-05-22,0.41153948417973946
2017-05-29,0.3220420101036958
2017-06-05,0.5751130018612072
2017-06-12,0.5660196756181867
2017-06-19,0.5563945759106621
2017-06-26,0.5090667375697953
2017-07-03,0.46333421962244087
2017-07-10,0.505929274129221
2017-07-17,0.4982717362403616
2017-07-24,0.6497739962775858
2017-07-31,0.7859611805370912
2017-08-07,0.8909332624302048
2017-08-14,0.9575644775325711
2017-08-21,0.9570327040680671
2017-08-28,0.9269343259771338
2017-09-04,0.9050784365860144
2017-09-11,0.9451209784631747
2017-09-18,0.9804307365062483
2017-09-25,0.9891518213241158
2017-10-02,0.9540547726668439
2017-10-09,0.8973145440042541
2017-10-16,0.8985376229726136
2017-10-23,0.8496144642382345
2017-10-30,0.8086147301249668
2017-11-06,0.8153150757777187
2017-11-13,0.8210050518479128
2017-11-20,0.8017016750864132
2017-11-27,0.9596383940441372
2017-12-04,0.9696889125232651
2017-12-11,1.0
2017-12-18,0.9555969157139059
2017-12-25,0.5783568199946822
