,date,mean_humidity,mean_temperature,mean_wind_speed
1187,2016-01-01,0.46439398272607724,0.15439150221392595,0.6130592503022976
1188,2016-01-02,0.38923525710690354,0.13817250038531625,0.4721886336154778
1189,2016-01-03,0.5267974603900929,0.1445903412922238,0.4353083434099154
1190,2016-01-04,0.4931075902305091,0.13767945080919297,0.5096735187424425
1191,2016-01-05,0.6428530572556197,0.06815364367861854,0.5689238210399034
1192,2016-01-06,0.6244923640107531,0.11012260985458333,0.3978234582829505
1193,2016-01-07,0.6577246467997482,0.16413728761066793,0.27992744860943175
1194,2016-01-08,0.8727335125550535,0.1883349939662704,0.2756952841596132
1195,2016-01-09,0.9782645998970427,0.22282123228364625,0.26904474002418377
1196,2016-01-10,0.9243836870102389,0.2402139544358235,0.5834340991535674
1197,2016-01-11,0.5512783847165812,0.08673910023342302,0.5876662636033857
1198,2016-01-12,0.5164445461305269,0.09036088192685376,0.50906892382104
1199,2016-01-13,0.4041640450723558,0.08328411662337842,0.6009673518742443
1200,2016-01-14,0.5245667219584738,0.12534164921551572,0.3929866989117292
1201,2016-01-15,0.6999942801578674,0.21155905134952668,0.4449818621523579
1202,2016-01-16,0.869301607275639,0.23865286856191936,0.45065979706640025
1203,2016-01-17,0.7415775324601039,0.1909420732189595,0.5846432889963726
1204,2016-01-18,0.5745581421952755,0.09187066020669832,0.6638452237001211
1205,2016-01-19,0.5158153634959672,0.05730802047020056,0.5453446191051996
1206,2016-01-20,0.5993250586283818,0.10685356565855386,0.3149939540507859
1207,2016-01-21,0.6598409883887204,0.14108541405339636,0.4159613059250301
1208,2016-01-22,0.6208888634673684,0.1597121868794158,0.5574365175332527
1209,2016-01-23,0.6514328204541551,0.13286291792894467,0.7593712212817414
1210,2016-01-24,0.5492192415489332,0.11153188317081053,0.48911729141475224
1211,2016-01-25,0.4938511697077159,0.14936525223718178,0.2968561064087061
1212,2016-01-26,0.5511067894526109,0.2427083399466632,0.5253929866989117
1213,2016-01-27,0.5504776068180517,0.2585372618847188,0.43954050785973386
1214,2016-01-28,0.5136418234856712,0.2250558155075879,0.38089480048367585
1215,2016-01-29,0.47892238174226387,0.23602488877547145,0.49395405078597354
1216,2016-01-30,0.4353371846937022,0.23106500758034976,0.4153567110036277
1217,2016-01-31,0.6159126008122173,0.3121673146313366,0.5024183796856106
1218,2016-02-01,0.6961619859291883,0.3099097967933382,0.6747279322853688
1219,2016-02-02,0.6396499456614995,0.23018102021454645,0.528415961305925
1220,2016-02-03,0.6602985757593094,0.2822482453257056,0.6825876662636032
1221,2016-02-04,0.5812503574901333,0.2641627491713141,0.5259975816203144
1222,2016-02-05,0.3761368186238059,0.19102616714071985,0.5568319226118501
1223,2016-02-06,0.3207687467825888,0.1877504212432637,0.40991535671100354
1224,2016-02-07,0.26379911914431164,0.2413231774026947,0.5562273276904474
1225,2016-02-08,0.320482754675971,0.2625876644230747,0.5483675937122129
1226,2016-02-09,0.3653835154149745,0.2331371795999715,0.573155985489722
1227,2016-02-10,0.2742092318252016,0.1949582979620672,0.5816203143893592
1228,2016-02-11,0.1522621975633469,0.1784143290393203,0.5139056831922612
1229,2016-02-12,0.32048275467597054,0.18101533125642,0.42140266021765416
1230,2016-02-13,0.3768803981010125,0.1441469344048798,0.6154776299879082
1231,2016-02-14,0.22730652633987303,0.08929422468538206,0.5562273276904475
1232,2016-02-15,0.4262426357032545,0.21376265923002968,0.6191051995163243
1233,2016-02-16,0.5999542412629411,0.3545911206047023,0.599758162031439
1234,2016-02-17,0.5006577818452211,0.3240122610329319,0.38210399032648124
1235,2016-02-18,0.4584453469084253,0.26348226554951815,0.5894800483675937
1236,2016-02-19,0.29851856088771944,0.2931975652227461,0.6995163240628781
1237,2016-02-20,0.3574901332723215,0.3916661826819485,0.569528415961306
1238,2016-02-21,0.486930160727564,0.3793901052260207,0.3688029020556227
1239,2016-02-22,0.5777040553680721,0.3422681062248927,0.37908101571946795
1240,2016-02-23,0.532402905679803,0.3111735345148414,0.564087061668682
1241,2016-02-24,0.5594005605445289,0.34055496945311603,0.6958887545344619
1242,2016-02-25,0.3838586055024884,0.3289996532892552,0.7889963724304718
1243,2016-02-26,0.25493336383915777,0.25994350976816527,0.4969770253929868
1244,2016-02-27,0.3129325630612594,0.26628167840834216,0.37243047158403886
1245,2016-02-28,0.237716639020763,0.36607200206757007,0.541112454655381
1246,2016-02-29,0.25476176857518706,0.41963647224357636,0.63180169286578
1247,2016-03-01,0.3982726076760279,0.3827072975327681,0.5326481257557437
1248,2016-03-02,0.4512955442429787,0.3552949626066457,0.7382103990326481
1249,2016-03-03,0.35056912429216935,0.28774742970595213,0.40689238210399026
1250,2016-03-04,0.5690098953268894,0.3023767251373055,0.38089480048367585
1251,2016-03-05,0.43773951838929226,0.31475082303510504,0.4256348246674728
1252,2016-03-06,0.44334496367900234,0.3446782287424224,0.5247883917775092
1253,2016-03-07,0.40536521192015096,0.3359151546355381,0.6372430471584039
1254,2016-03-08,0.36149402276497167,0.39285986098187564,0.49093107617896015
1255,2016-03-09,0.37007378596350704,0.4714784666002547,0.5084643288996373
1256,2016-03-10,0.41543213407309976,0.5449795088074225,0.624546553808948
1257,2016-03-11,0.507578790825373,0.49178358338419415,0.45707376058041105
1258,2016-03-12,0.5080935766172852,0.43402981393171913,0.5616686819830713
1259,2016-03-13,0.49488074129154014,0.46729649735087797,0.5175332527206771
1260,2016-03-14,0.6032145512783844,0.4613868688174918,0.6118500604594921
1261,2016-03-15,0.5553966710518792,0.4572491099472682,0.5453446191051996
